"","SampleID","SampleDate","SampleTime","StationCode","SamplingArea","SampleMethod","GearID","GearConditionCode","VegetationRank","TrapStatus","Rev.Counter","Region","SeineLength","SeineWidth","SeineDepth","VolumeSeined","HabitatType","SubstrateCode","FieldComments","DataCorrectionComments","NoCatch","OrganismCode","LowestTaxon","Parent","ForkLength","TotalLength","Weight","Sex","Spawning.Condition","MarkCode","Race","StageCode","Dead","CWTSample","Genetic.Sample","Direct.Take","Indirect.Take","FishTagID","Count","FishIDComments","CWT_TagCode","CWTComments","GeneticID1","Prob1","GeneticID2","Prob2","FishTagID2","SalmComments","numChrom","V.shape","GeneticID","qDS","qLFS","qWAG","GenotypeRun","FishTagID3","SmeltComments"
"11",1605,"06/02/2000","12:25:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"12",1605,"06/02/2000","12:25:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","5","","","","","","","","","","","","","","","","","",""
"13",1605,"06/02/2000","12:25:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","31","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"14",1606,"06/05/2000","10:30:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"15",1607,"06/07/2000","10:35:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","flood tide","","N","AMS","sapidissima","Alosa","31","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"16",1607,"06/07/2000","10:35:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","flood tide","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"17",1608,"06/09/2000","10:30:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","32","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"18",1608,"06/09/2000","10:30:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","31","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"19",1608,"06/09/2000","10:30:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","38","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"20",1609,"06/12/2000","11:00:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","27","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"21",1609,"06/12/2000","11:00:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","31","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"22",1609,"06/12/2000","11:00:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"23",1610,"06/14/2000","08:35:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"24",1610,"06/14/2000","08:35:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","4","","","","","","","","","","","","","","","","","",""
"25",1611,"06/16/2000","07:35:00","STTD","A0D82120386","RSTR","RSTR8","2","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","35","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"26",1611,"06/16/2000","07:35:00","STTD","A0D82120386","RSTR","RSTR8","2","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","34","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","4","","","","","","","","","","","","","","","","","",""
"27",1612,"06/19/2000","10:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","28","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"28",1612,"06/19/2000","10:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"29",1612,"06/19/2000","10:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"30",1613,"06/21/2000","09:00:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","flood tide","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"31",1613,"06/21/2000","09:00:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","flood tide","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","4","","","","","","","","","","","","","","","","","",""
"32",1613,"06/21/2000","09:00:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","flood tide","","N","AMS","sapidissima","Alosa","27","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"33",1614,"06/23/2000","08:55:00","STTD","A0D82120386","RSTR","RSTR8","3","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"34",1614,"06/23/2000","08:55:00","STTD","A0D82120386","RSTR","RSTR8","3","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","26","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"35",1614,"06/23/2000","08:55:00","STTD","A0D82120386","RSTR","RSTR8","3","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","28","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"36",1614,"06/23/2000","08:55:00","STTD","A0D82120386","RSTR","RSTR8","3","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","27","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"37",1615,"06/26/2000","09:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","slack tide","","N","AMS","sapidissima","Alosa","27","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"38",1615,"06/26/2000","09:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","slack tide","","N","AMS","sapidissima","Alosa","26","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"39",1237,"06/26/2000","10:00:00","BL4","A0D82131385","BSEIN","SEIN50","1","","","","","6","15","1.1","99","RIP","MUD","","","N","AMS","sapidissima","Alosa","25","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"40",1616,"06/28/2000","09:55:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","35","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"41",1616,"06/28/2000","09:55:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","28","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"42",1616,"06/28/2000","09:55:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"43",1617,"06/30/2000","10:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Pull","","","","","","","","","","","N","AMS","sapidissima","Alosa","32","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"44",1617,"06/30/2000","10:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Pull","","","","","","","","","","","N","AMS","sapidissima","Alosa","31","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"45",1681,"05/17/2001","10:14:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","splt @ 33mm with parasite just posterior operculum","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"46",1684,"05/29/2001","09:50:00","STTD","A0D82120386","RSTR","","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","31","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"47",1684,"05/29/2001","09:50:00","STTD","A0D82120386","RSTR","","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","32","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"48",1685,"06/01/2001","09:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Hundreds of adult shrimp many with eggs.","","N","AMS","sapidissima","Alosa","32","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"49",1685,"06/01/2001","09:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Hundreds of adult shrimp many with eggs.","","N","AMS","sapidissima","Alosa","28","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"50",1685,"06/01/2001","09:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Hundreds of adult shrimp many with eggs.","","N","AMS","sapidissima","Alosa","35","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"51",1685,"06/01/2001","09:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Hundreds of adult shrimp many with eggs.","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"52",1686,"06/04/2001","09:30:00","STTD","A0D82120386","RSTR","","1","","Check","","","","","","","","","194 shrimp","","N","AMS","sapidissima","Alosa","28","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"53",1687,"06/08/2001","10:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","28","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"54",1687,"06/08/2001","10:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","27","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"55",1688,"06/11/2001","11:27:00","STTD","A0D82120386","RSTR","","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","28","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"56",1689,"06/13/2001","09:25:00","STTD","A0D82120386","RSTR","","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","27","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"57",1689,"06/13/2001","09:25:00","STTD","A0D82120386","RSTR","","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","26","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"58",1690,"06/18/2001","09:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","unid may be tfs, 150-200 shrimp","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"59",1691,"06/20/2001","09:16:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"60",1691,"06/20/2001","09:16:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"61",1691,"06/20/2001","09:16:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","28","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"62",1692,"06/22/2001","11:30:00","STTD","A0D82120386","RSTR","","1","","Check","","","","","","","","","Unidentified likely to be MSS or TFS","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"63",1693,"06/26/2001","09:30:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Mitten crab 8mm","","N","AMS","sapidissima","Alosa","31","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"64",1693,"06/26/2001","09:30:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Mitten crab 8mm","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"65",1693,"06/26/2001","09:30:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Mitten crab 8mm","","N","AMS","sapidissima","Alosa","32","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"66",1694,"06/29/2001","10:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Pull","","","","","","","","","Hundreds of shrimp.  Pulled cone for 00'-01'season","","N","AMS","sapidissima","Alosa","34","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"67",1694,"06/29/2001","10:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Pull","","","","","","","","","Hundreds of shrimp.  Pulled cone for 00'-01'season","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"68",1766,"06/05/2002","12:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Ec=468.  32 SHR w/eggs","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"69",1766,"06/05/2002","12:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Ec=468.  32 SHR w/eggs","","N","AMS","sapidissima","Alosa","23","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"70",1766,"06/05/2002","12:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Ec=468.  32 SHR w/eggs","","N","AMS","sapidissima","Alosa","31","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"71",1767,"06/07/2002","10:07:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Ec=359.  33 SHR w/eggs","","N","AMS","sapidissima","Alosa","26","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"72",1768,"06/10/2002","11:47:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Ec=321. 110 SHR w/eggs","","N","AMS","sapidissima","Alosa","27","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"73",1768,"06/10/2002","11:47:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Ec=321. 110 SHR w/eggs","","N","AMS","sapidissima","Alosa","28","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"74",1768,"06/10/2002","11:47:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","Ec=321. 110 SHR w/eggs","","N","AMS","sapidissima","Alosa","26","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","66","","","","","","","","","","","","","","","","","",""
"75",1770,"06/14/2002","09:44:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","ec:225, +32 SHR w/eggs","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"76",1770,"06/14/2002","09:44:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","ec:225, +32 SHR w/eggs","","N","AMS","sapidissima","Alosa","34","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"77",1771,"06/17/2002","09:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","ec:243, +25 SHR w/eggs","","N","AMS","sapidissima","Alosa","29","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"78",1771,"06/17/2002","09:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","ec:243, +25 SHR w/eggs","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"79",1771,"06/17/2002","09:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","ec:243, +25 SHR w/eggs","","N","AMS","sapidissima","Alosa","31","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","4","","","","","","","","","","","","","","","","","",""
"80",1772,"06/19/2002","10:50:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","ec=266, SHR w/eggs=130","","N","AMS","sapidissima","Alosa","33","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"81",1772,"06/19/2002","10:50:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","ec=266, SHR w/eggs=130","","N","AMS","sapidissima","Alosa","30","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"82",1773,"06/24/2002","09:14:00","STTD","A0D82120386","RSTR","RSTR8","1","","Pull","","","","","","","","","ec=218, SHR w/eggs=77","","N","AMS","sapidissima","Alosa","34","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"83",1773,"06/24/2002","09:14:00","STTD","A0D82120386","RSTR","RSTR8","1","","Pull","","","","","","","","","ec=218, SHR w/eggs=77","","N","AMS","sapidissima","Alosa","28","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"84",1843,"06/13/2003","11:50:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","~50 SPLT killed","","N","AMS","sapidissima","Alosa","26","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"85",1843,"06/13/2003","11:50:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","~50 SPLT killed","","N","AMS","sapidissima","Alosa","25","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","7","","","","","","","","","","","","","","","","","",""
"86",1844,"06/16/2003","11:00:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","25","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","4","","","","","","","","","","","","","","","","","",""
"87",1847,"06/24/2003","09:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","27","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"88",1847,"06/24/2003","09:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","26","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"89",1847,"06/24/2003","09:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","25","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"90",1848,"06/25/2003","10:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","25","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","7","","","","","","","","","","","","","","","","","",""
"91",1848,"06/25/2003","10:45:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","27","","","","","n/p","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"92",1849,"06/27/2003","10:01:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","25","","","","","n/p","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","9","","","","","","","","","","","","","","","","","",""
