Processed by,Species,ID,Date,Time,FL (mm),wt (g),Fullness,Digestion,full wt,empty wt,Prey Taxa,LH,Higher level,Count,wt (g),Comments,QA/QC
JC,CHN,2017_Ad_min-S_002,7/17/2017,9:38,90,8.39,5,4,0.3863,0.2065,Aphididae,adult,Hemiptera,1,0.0010,,jc
JC,CHN,2017_Ad_min-S_002,7/17/2017,9:38,90,8.39,5,4,0.3863,0.2065,Diptera,larvae,Diptera,13,0.0471,,jc
JC,CHN,2017_Ad_min-S_002,7/17/2017,9:38,90,8.39,5,4,0.3863,0.2065,Insect matter,,Insecta,,0.0807,,jc
JC,CHN,2017_Ad_min-S_003,9/11/2017,10:17,81,6.42,6,5,0.4230,0.1401,Daphnia pulex/pulicaria grp.,,Cladocera,368,0.2580,,jc
JC,CHN,2017_Ad_min-S_003,9/11/2017,10:17,81,6.42,6,5,0.4230,0.1401,Coenagrionidae,nymph,Odonata,1,0.0027,,jc
JC,CHN,2017_Ad_min-S_003,9/11/2017,10:17,81,6.42,6,5,0.4230,0.1401,Coleoptera,larvae,Coleoptera,1,0.0003,,jc
JC,CHN,2017_Ad_min-S_003,9/11/2017,10:17,81,6.42,6,5,0.4230,0.1401,Crangonyx sp,,Amphipoda,1,0.0006,,jc
JC,CHN,2017_Ad_min-S_003,9/11/2017,10:17,81,6.42,6,5,0.4230,0.1401,Chironomidae,adult,Diptera,6,0.0033,,jc
JC,CHN,2017_Ad_min-S_003,9/11/2017,10:17,81,6.42,6,5,0.4230,0.1401,Osteichthyes,larvae,Chordata,1,0.0043,,jc
JC,CHN,2017_Ad_min-S_003,9/11/2017,10:17,81,6.42,6,5,0.4230,0.1401,Ephydridae,adult,Diptera,1,0.0014,,jc
JC,CHN,2017_Ad_min-S_003,9/11/2017,10:17,81,6.42,6,5,0.4230,0.1401,Unidentified,,Unidentified,,0.0060,,jc
JC,CHN,2017_Ad_min-S_004,8/9/2017,14:26,98,10.90,6,5,0.5362,0.2183,Crangonyx sp,,Amphipoda,3,0.0048,,jc
JC,CHN,2017_Ad_min-S_004,8/9/2017,14:26,98,10.90,6,5,0.5362,0.2183,Hyalella azteca,,Amphipoda,1,0.0014,,jc
JC,CHN,2017_Ad_min-S_004,8/9/2017,14:26,98,10.90,6,5,0.5362,0.2183,Osteichthyes,larvae,Chordata,4,0.0496,,jc
JC,CHN,2017_Ad_min-S_004,8/9/2017,14:26,98,10.90,6,5,0.5362,0.2183,Chironomidae,larvae,Diptera,1,0.0002,,jc
JC,CHN,2017_Ad_min-S_004,8/9/2017,14:26,98,10.90,6,5,0.5362,0.2183,Coenagrionidae,nymph,Odonata,6,0.1865,,jc
JC,CHN,2017_Ad_min-S_004,8/9/2017,14:26,98,10.90,6,5,0.5362,0.2183,Daphnia sp,,Cladocera,1,0.0000,,jc
JC,CHN,2017_Ad_min-S_004,8/9/2017,14:26,98,10.90,6,5,0.5362,0.2183,Unidentified,,Unidentified,,0.0197,,jc
JC,CHN,2017_Ad_min-S_007,8/28/2017,10:34,94,9.86,1,1,0.1787,0.1787,No animals,,0,,,,jc
JC,CHN,2017_Ad_min-W_001,7/26/2017,14:14,119,19.99,5,4,0.6856,0.2762,Daphnia pulex/pulicaria grp.,,Cladocera,245,0.1877,,jc
JC,CHN,2017_Ad_min-W_001,7/26/2017,14:14,119,19.99,5,4,0.6856,0.2762,Chironomidae,emergent,Diptera,36,0.0357,,jc
JC,CHN,2017_Ad_min-W_001,7/26/2017,14:14,119,19.99,5,4,0.6856,0.2762,Animal matter,,Animalia,,0.1703,,jc
JC,CHN,2017_Ad_min-W_002,7/26/2017,13:40,123,20.57,4,5,0.4601,0.2592,Daphnia pulex/pulicaria grp.,,Cladocera,270,0.1998,,jc
JC,CHN,2017_Ad_min-W_002,7/26/2017,13:40,123,20.57,4,5,0.4601,0.2592,Chironomidae,emergent,Diptera,1,0.0007,,jc
JC,CHN,2017_Ad_min-W_002,7/26/2017,13:40,123,20.57,4,5,0.4601,0.2592,Unidentified,,Unidentified,,0.0070,,jc
JC,CHN,2017_Ad_plus-F_001,9/12/2017,12:09,41,0.69,6,5,0.0412,0.0150,Chironomidae,larvae,Diptera,29,0.0126,,jc
JC,CHN,2017_Ad_plus-F_001,9/12/2017,12:09,41,0.69,6,5,0.0412,0.0150,Daphnia pulex/pulicaria grp.,,Cladocera,30,0.0090,,jc
JC,CHN,2017_Ad_plus-F_001,9/12/2017,12:09,41,0.69,6,5,0.0412,0.0150,Daphnia sp,,Cladocera,43,0.0018,,jc
JC,CHN,2017_Ad_plus-F_001,9/12/2017,12:09,41,0.69,6,5,0.0412,0.0150,Insect matter,,Insecta,,0.0017,,jc
JC,CHN,2017_Ad_plus-F_002,9/12/2017,11:50,40,0.55,4,6,0.0191,0.0158,Daphnia pulex/pulicaria grp.,,Cladocera,8,0.0026,,jc
JC,CHN,2017_Ad_plus-F_003,9/12/2017,11:55,40,0.57,5,5,0.0236,0.0136,Daphnia pulex/pulicaria grp.,,Cladocera,12,0.0052,,jc
JC,CHN,2017_Ad_plus-F_003,9/12/2017,11:55,40,0.57,5,5,0.0236,0.0136,Ephemeroptera,larvae,Ephemeroptera,1,0.0000,,jc
JC,CHN,2017_Ad_plus-F_003,9/12/2017,11:55,40,0.57,5,5,0.0236,0.0136,Insect matter,,Insecta,,0.0024,,jc
JC,CHN,2017_Ad_plus-F_004,9/12/2017,12:06,33,0.32,2,6,0.0045,0.0037,Daphnia pulex/pulicaria grp.,,Cladocera,1,0.0005,,jc
JC,CHN,2017_Ad_plus-F_005,9/12/2017,12:04,40,0.60,6,5,0.0412,0.0128,Crangonyx sp,,Amphipoda,11,0.0164,,jc
JC,CHN,2017_Ad_plus-F_005,9/12/2017,12:04,40,0.60,6,5,0.0412,0.0128,Isotomidae,,Collembola,16,0.0017,,jc
JC,CHN,2017_Ad_plus-F_005,9/12/2017,12:04,40,0.60,6,5,0.0412,0.0128,Daphnia pulex/pulicaria grp.,,Cladocera,2,0.0002,,jc
JC,CHN,2017_Ad_plus-F_005,9/12/2017,12:04,40,0.60,6,5,0.0412,0.0128,Chironomidae,larvae,Diptera,4,0.0001,,jc
JC,CHN,2017_Ad_plus-F_005,9/12/2017,12:04,40,0.60,6,5,0.0412,0.0128,Chironomidae,emergent,Diptera,1,0.0001,,jc
JC,CHN,2017_Ad_plus-F_005,9/12/2017,12:04,40,0.60,6,5,0.0412,0.0128,Pseudoscorpiones,,Arachnida,1,0.0000,,jc
JC,CHN,2017_Ad_plus-F_005,9/12/2017,12:04,40,0.60,6,5,0.0412,0.0128,Aphididae,adult,Hemiptera,1,0.0002,,jc
JC,CHN,2017_Ad_plus-F_005,9/12/2017,12:04,40,0.60,6,5,0.0412,0.0128,Acari,,Acari,1,0.0000,,jc
JC,CHN,2017_Ad_plus-F_005,9/12/2017,12:04,40,0.60,6,5,0.0412,0.0128,Unidentified,,Unidentified,,0.0030,,jc
JC,CHN,2017_Ad_plus-F_007,9/12/2017,11:43,38,0.33,6,5,0.0149,0.0068,Crangonyx sp,,Amphipoda,5,0.0050,,jc
JC,CHN,2017_Ad_plus-F_007,9/12/2017,11:43,38,0.33,6,5,0.0149,0.0068,Daphnia pulex/pulicaria grp.,,Cladocera,1,0.0001,,jc
JC,CHN,2017_Ad_plus-F_007,9/12/2017,11:43,38,0.33,6,5,0.0149,0.0068,Aphididae,adult,Hemiptera,1,0.0014,,jc
ATE,CHN,2017_Ad_plus-F_012,9/12/2017,12:00,37,0.35,4,2,0.0098,0.0065,Aranae,,Arachnida,1,0.0005,,jc
ATE,CHN,2017_Ad_plus-F_012,9/12/2017,12:00,37,0.35,4,2,0.0098,0.0065,Unidentified,,Unidentified,,0.0011,,jc
ATE,CHN,2017_Ad_plus-F_012,9/12/2017,12:00,37,0.35,4,2,0.0098,0.0065,Animal matter,,Animalia,,0.0005,,jc
JC,CHN,2017_Ad_plus-F_017,9/12/2017,9:49,35,0.35,6,5,0.0145,0.0046,Daphnia sp,,Cladocera,10,0.0024,,jc
JC,CHN,2017_Ad_plus-F_017,9/12/2017,9:49,35,0.35,6,5,0.0145,0.0046,Hemiptera,nymph,Hemiptera,1,0.0009,,jc
JC,CHN,2017_Ad_plus-F_017,9/12/2017,9:49,35,0.35,6,5,0.0145,0.0046,Brachycera,larvae,Diptera,1,0.0002,,jc
JC,CHN,2017_Ad_plus-F_017,9/12/2017,9:49,35,0.35,6,5,0.0145,0.0046,Aphididae,adult,Hemiptera,3,0.0012,,jc
JC,CHN,2017_Ad_plus-F_017,9/12/2017,9:49,35,0.35,6,5,0.0145,0.0046,Hymenoptera,adult,Hymenoptera,1,0.0004,,jc
JC,CHN,2017_Ad_plus-F_017,9/12/2017,9:49,35,0.35,6,5,0.0145,0.0046,Sminthuridae,,Collembola,1,0.0001,,jc
JC,CHN,2017_Ad_plus-F_017,9/12/2017,9:49,35,0.35,6,5,0.0145,0.0046,Isotomidae,,Collembola,6,0.0014,,jc
JC,CHN,2017_Ad_plus-F_017,9/12/2017,9:49,35,0.35,6,5,0.0145,0.0046,Chironomidae,larvae,Diptera,2,0.0001,,jc
BO,CHN,2017_Ad_plus-F_026,9/12/2017,11:21,33,0.30,4,5,0.0112,0.0073,Daphnia pulex/pulicaria grp.,,Cladocera,5,0.0014,,jc
BO,CHN,2017_Ad_plus-F_026,9/12/2017,11:21,33,0.30,4,5,0.0112,0.0073,Aphididae,,Hemiptera,1,0.0006,wingless,jc
BO,CHN,2017_Ad_plus-F_026,9/12/2017,11:21,33,0.30,4,5,0.0112,0.0073,Americorophium sp,,Amphipoda,1,0.0000,,jc
BO,CHN,2017_Ad_plus-F_026,9/12/2017,11:21,33,0.30,4,5,0.0112,0.0073,Cyclopoida,,Cyclopoida,1,0.0000,,jc
BO,CHN,2017_Ad_plus-F_067,9/12/2017,10:20,37,0.42,6,5,0.0174,0.0072,Crangonyx sp,,Amphipoda,1,0.0024,,jc
BO,CHN,2017_Ad_plus-F_067,9/12/2017,10:20,37,0.42,6,5,0.0174,0.0072,Chironomidae,larvae,Diptera,3,0.0003,,jc
BO,CHN,2017_Ad_plus-F_067,9/12/2017,10:20,37,0.42,6,5,0.0174,0.0072,Daphnia pulex/pulicaria grp.,,Cladocera,4,0.0016,,jc
BO,CHN,2017_Ad_plus-F_067,9/12/2017,10:20,37,0.42,6,5,0.0174,0.0072,Simocephalus sp,,Cladocera,3,0.0005,,jc
BO,CHN,2017_Ad_plus-F_067,9/12/2017,10:20,37,0.42,6,5,0.0174,0.0072,Phlaeothripidae,adult,Thysanoptera,1,0.0000,,jc
BO,CHN,2017_Ad_plus-F_067,9/12/2017,10:20,37,0.42,6,5,0.0174,0.0072,Chironomidae,emergent,Diptera,1,0.0022,,jc
BO,CHN,2017_Ad_plus-F_067,9/12/2017,10:20,37,0.42,6,5,0.0174,0.0072,Animal matter,,Animalia,,0.0004,,jc
BO,CHN,2017_Ad_plus-F_072,9/12/2017,10:57,41,0.56,6,5,0.0233,0.0094,Acanthocyclops robustus,,Cyclopoida,13,0.0006,,jc
BO,CHN,2017_Ad_plus-F_072,9/12/2017,10:57,41,0.56,6,5,0.0233,0.0094,Chironomidae,larvae,Diptera,2,0.0002,,jc
BO,CHN,2017_Ad_plus-F_072,9/12/2017,10:57,41,0.56,6,5,0.0233,0.0094,Collembola,,Collembola,2,0.0000,,jc
BO,CHN,2017_Ad_plus-F_072,9/12/2017,10:57,41,0.56,6,5,0.0233,0.0094,Chironomidae,pupae,Diptera,1,0.0000,,jc
BO,CHN,2017_Ad_plus-F_072,9/12/2017,10:57,41,0.56,6,5,0.0233,0.0094,Culicidae,larvae,Diptera,1,0.0000,,jc
BO,CHN,2017_Ad_plus-F_072,9/12/2017,10:57,41,0.56,6,5,0.0233,0.0094,Daphnia pulex/pulicaria grp.,,Cladocera,20,0.0030,,jc
BO,CHN,2017_Ad_plus-F_072,9/12/2017,10:57,41,0.56,6,5,0.0233,0.0094,Chironomidae,emergent,Diptera,5,0.0038,,jc
BO,CHN,2017_Ad_plus-F_072,9/12/2017,10:57,41,0.56,6,5,0.0233,0.0094,Unidentified,,Unidentified,,0.0012,,jc
BO,CHN,2017_Ad_plus-F_072,9/12/2017,10:57,41,0.56,6,5,0.0233,0.0094,Insect matter,,Insecta,,0.0002,,jc
ATE,CHN,2017_Ad_plus-F_073,9/12/2017,11:37,36,0.35,3,5,0.0119,0.0084,Daphnia pulex/pulicaria grp.,,Cladocera,10,0.0012,,jc
ATE,CHN,2017_Ad_plus-F_073,9/12/2017,11:37,36,0.35,3,5,0.0119,0.0084,Simocephalus sp,,Cladocera,3,0.0005,,jc
ATE,CHN,2017_Ad_plus-F_073,9/12/2017,11:37,36,0.35,3,5,0.0119,0.0084,Acanthocyclops robustus,,Cyclopoida,2,0.0002,,jc
ATE,CHN,2017_Ad_plus-F_073,9/12/2017,11:37,36,0.35,3,5,0.0119,0.0084,Culicidae,larvae,Diptera,1,0.0004,,jc
ATE,CHN,2017_Ad_plus-F_073,9/12/2017,11:37,36,0.35,3,5,0.0119,0.0084,Insect matter,,Insecta,,0.0007,,jc
ATE,CHN,2017_Ad_plus-F_077,9/12/2017,11:07,36,0.35,6,5,0.0150,0.0079,Acanthocyclops robustus,,Cyclopoida,13,0.0005,,jc
ATE,CHN,2017_Ad_plus-F_077,9/12/2017,11:07,36,0.35,6,5,0.0150,0.0079,Daphnia pulex/pulicaria grp.,,Cladocera,13,0.0009,,jc
ATE,CHN,2017_Ad_plus-F_077,9/12/2017,11:07,36,0.35,6,5,0.0150,0.0079,Chironomidae,emergent,Diptera,1,0.0003,,jc
ATE,CHN,2017_Ad_plus-F_077,9/12/2017,11:07,36,0.35,6,5,0.0150,0.0079,Simocephalus sp,,Cladocera,5,0.0007,,jc
ATE,CHN,2017_Ad_plus-F_077,9/12/2017,11:07,36,0.35,6,5,0.0150,0.0079,Unidentified,,Unidentified,,0.0003,,jc
JC,CHN,2017_Ad_plus-F_088,9/12/2017,10:00,39,0.47,5,5,0.0187,0.0100,Chironomidae,larvae,Diptera,3,0.0002,,jc
JC,CHN,2017_Ad_plus-F_088,9/12/2017,10:00,39,0.47,5,5,0.0187,0.0100,Chironomidae,pupae,Diptera,5,0.0007,,jc
JC,CHN,2017_Ad_plus-F_088,9/12/2017,10:00,39,0.47,5,5,0.0187,0.0100,Chironomidae,adult,Diptera,3,0.0010,,jc
JC,CHN,2017_Ad_plus-F_088,9/12/2017,10:00,39,0.47,5,5,0.0187,0.0100,Isotomidae,,Collembola,4,0.0008,,jc
JC,CHN,2017_Ad_plus-F_088,9/12/2017,10:00,39,0.47,5,5,0.0187,0.0100,Diplura,adult,Hexapoda,1,0.0001,,jc
JC,CHN,2017_Ad_plus-F_088,9/12/2017,10:00,39,0.47,5,5,0.0187,0.0100,Daphnia sp,,Cladocera,21,0.0024,,jc
JC,CHN,2017_Ad_plus-F_088,9/12/2017,10:00,39,0.47,5,5,0.0187,0.0100,Insect matter,,Insecta,,0.0008,,jc
JC,CHN,2017_Ad_plus-F_088,9/12/2017,10:00,39,0.47,5,5,0.0187,0.0100,Animal matter,,Animalia,,0.0006,,jc
JC,CHN,2017_Ad_plus-F_089,9/12/2017,10:49,38,0.52,5,5,0.0242,0.0133,Isotomidae,,Collembola,2,0.0006,,jc
JC,CHN,2017_Ad_plus-F_089,9/12/2017,10:49,38,0.52,5,5,0.0242,0.0133,Chironomidae,pupae,Diptera,1,0.0001,,jc
