Processed by,Species,ID,Date,Time,FL (mm),wt (g),Fullness,Digestion,full wt,empty wt,Prey Taxa,LH,Higher level,Count,wt (g),Comments,QA/QC
ATE,CHN,2018Ad_plus-F_035,5/3/2018,10:16,75,4.5,4,5,0.0904,0.0750,Chironomidae,emergent,Diptera,22,0.0023,,JC
ATE,CHN,2018Ad_plus-F_035,5/3/2018,10:16,75,4.5,4,5,0.0904,0.0750,Aphididae,adult,Hemiptera,2,0.0011,,JC
ATE,CHN,2018Ad_plus-F_035,5/3/2018,10:16,75,4.5,4,5,0.0904,0.0750,Plant matter,,Plant Matter,,0.0000,,JC
ATE,CHN,2018Ad_plus-F_035,5/3/2018,10:16,75,4.5,4,5,0.0904,0.0750,Insect matter,,Insecta,,0.0091,,JC
ATE,CHN,2018Ad_min-S_001,4/11/2018,16:50,83,6.64,3,3,0.1227,0.0926,Chironomidae,emergent,Diptera,1,0.0016,,JC
ATE,CHN,2018Ad_min-S_001,4/11/2018,16:50,83,6.64,3,3,0.1227,0.0926,Plant matter,,Plant Matter,,0.0000,,JC
ATE,CHN,2018Ad_min-S_001,4/11/2018,16:50,83,6.64,3,3,0.1227,0.0926,Insect matter,,Insecta,,0.0199,,JC
ATE,CHN,2018Ad_min-S_001,4/11/2018,16:50,83,6.64,3,3,0.1227,0.0926,Chironomidae,larvae,Diptera,1,0.0000,,JC
ATE,CHN,2018Ad_min-S_002,4/11/2018,16:50,90,8.03,4,4,0.1632,0.1273,Neuroptera,larvae,Neuroptera,1,0.0018,,JC
ATE,CHN,2018Ad_min-S_002,4/11/2018,16:50,90,8.03,4,4,0.1632,0.1273,Chironomidae,emergent,Diptera,3,0.0026,,JC
ATE,CHN,2018Ad_min-S_002,4/11/2018,16:50,90,8.03,4,4,0.1632,0.1273,Animal matter,,Animalia,,0.0143,,JC
ATE,CHN,2018Ad_min-S_002,4/11/2018,16:50,90,8.03,4,4,0.1632,0.1273,Osphranticum labronectum,,Calanoida,1,0.0002,,JC
ATE,CHN,2018Ad_min-S_005,4/13/2018,10:03,83.5,6.28,4,2,0.1739,0.1190,Odonata,nymph,Odonata,1,0.0156,,JC
ATE,CHN,2018Ad_min-S_005,4/13/2018,10:03,83.5,6.28,4,2,0.1739,0.1190,Insect matter,,Insecta,,0.0020,,JC
ATE,CHN,2018Ad_min-S_005,4/13/2018,10:03,83.5,6.28,4,2,0.1739,0.1190,Animal matter,,Animalia,,0.0269,mostly Daphnia parts,JC
