Processed by,Date,ID #,,Site Code,Gear,FL,FL (Label if different from data sheet),Weight,Label Weight (If does not match weight on Inventory),Fullness,Digestion,Damp wt,Empty wt,Prey taxa,LH,Count,Wt,Stomach broken/damaged,Comments,REF,QA,Inventory
as,3/30/2012,2012-036CHNF,F,STTD,RSTR,68,,2.9644,,4,3,0.0901,0.0597,Daphniidae,,17,0.0015,,,Cladocera,bo,White 2/4
as,3/30/2012,2012-036CHNF,F,STTD,RSTR,68,,2.9644,,4,3,0.0901,0.0597,Daphnia sp,,10,0.0013,,,Cladocera,bo,White 2/4
as,3/19/2012,2012-023CHNF,F,STTD,RSTR,66,,2.2415,,2,5,0.0678,0.0581,Daphnia sp,,3,0.0005,,,Cladocera,bo,White 2/4
as,3/19/2012,2012-023CHNF,F,STTD,RSTR,66,,2.2415,,2,5,0.0678,0.0581,Animal Matter,,,0.0000,,,Animal Matter,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Animal Matter,,,0.0061,,,Animal Matter,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Oligochaeta,,1,0.0009,,,Oligochaeta,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Gammaridea,,1,0.0016,,,Amphipoda,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Corophiidae,,1,0.0002,,head only,Amphipoda,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Daphnia sp,,10,0.0008,,,Cladocera,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Nematoda,,1,0.0001,,,Nematoda,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Aphididae,,13,0.0034,,,Hemiptera,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Chironomidae,adult,18,0.0057,,,Diptera,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Chironomidae,larvae,1,0.0005,,,Diptera,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Staphylinidae,adult,1,0.0000,,,Coleoptera,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Scelionidae,adult,1,0.0002,,,Hymenoptera,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Hymenoptera,adult,1,0.0000,,head only,Hymenoptera,bo,White 2/4
as,2/29/2012,2012-005CHNF,F,BL-5,Beach Seine,53,,1.0369,,5,4,0.0745,0.0248,Aranae,,1,0.0003,,,Arachnida,bo,White 2/4
as,3/27/2012,2012-025CHNS,S,STTD,RSTR,75,,2.7108,,4,3,0.1448,0.0658,Animal Matter,,,0.0033,,,Animal Matter,bo,White 2/4
as,3/27/2012,2012-025CHNS,S,STTD,RSTR,75,,2.7108,,4,3,0.1448,0.0658,Psocoptera,adult,1,0.0002,,,Psocoptera,bo,White 2/4
as,3/27/2012,2012-025CHNS,S,STTD,RSTR,75,,2.7108,,4,3,0.1448,0.0658,Chydoridae,,1,0.0000,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-025CHNS,S,STTD,RSTR,75,,2.7108,,4,3,0.1448,0.0658,Chironomidae,adult,13,0.0013,,"heads, thoraces",Diptera,bo,White 2/4
as,3/27/2012,2012-025CHNS,S,STTD,RSTR,75,,2.7108,,4,3,0.1448,0.0658,Aranae,,1,0.0003,,,Arachnida,bo,White 2/4
as,3/27/2012,2012-025CHNS,S,STTD,RSTR,75,,2.7108,,4,3,0.1448,0.0658,Hypogastruridae,,1,0.0001,,,Collembola,bo,White 2/4
as,3/27/2012,2012-025CHNS,S,STTD,RSTR,75,,2.7108,,4,3,0.1448,0.0658,Daphnia sp,ephippia,2,0.0002,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-025CHNS,S,STTD,RSTR,75,,2.7108,,4,3,0.1448,0.0658,Aphididae,,2,0.0001,,,Hemiptera,bo,White 2/4
as,3/27/2012,2012-025CHNS,S,STTD,RSTR,75,,2.7108,,4,3,0.1448,0.0658,Daphnia sp,,5,0.0002,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-025CHNS,S,STTD,RSTR,75,,2.7108,,4,3,0.1448,0.0658,Ceratopogonidae,pupa,1,0.0001,,,Diptera,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Animal Matter,,,0.0052,,,Animal Matter,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Aranae,,1,0.0071,,,Arachnida,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Chironomidae,adult,19,0.0020,,,Diptera,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Aphididae,,4,0.0007,,,Hemiptera,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Ephydridae,adult,1,0.0027,,,Diptera,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Ostracoda,,1,0.0000,,,Ostracoda,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Americorophium spinicorne,,1,0.0057,,,Amphipoda,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Hymenoptera,adult,2,0.0003,,,Hymenoptera,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Acari,,2,0.0000,,,Arachnida,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Inorganic matter,,,0.0005,,sand,Inorganic Matter,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Collembola,,1,0.0000,,,Collembola,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Psyllidae,adult,1,0.0004,,,Hemiptera,bo,White 2/4
as,3/27/2012,2012-024CHNS,S,STTD,RSTR,74,,2.9758,,6,4,0.1182,0.0440,Nematocera,larvae,1,0.0005,,,Diptera,bo,White 2/4
as,3/20/2012,2012-024CHNF,F,STTD,RSTR,66,,2.4738,,4,4,0.0697,0.0523,Animal Matter,,,0.0009,,,Animal Matter,bo,White 2/4
as,3/20/2012,2012-024CHNF,F,STTD,RSTR,66,,2.4738,,4,4,0.0697,0.0523,Algae,,,0.0006,,,Unidentified,bo,White 2/4
as,3/20/2012,2012-024CHNF,F,STTD,RSTR,66,,2.4738,,4,4,0.0697,0.0523,Aphididae,adult,4,0.0009,,winged,Hemiptera,bo,White 2/4
as,3/20/2012,2012-024CHNF,F,STTD,RSTR,66,,2.4738,,4,4,0.0697,0.0523,Daphniidae,,6,0.0014,,,Cladocera,bo,White 2/4
as,3/20/2012,2012-024CHNF,F,STTD,RSTR,66,,2.4738,,4,4,0.0697,0.0523,Daphnia sp,,8,0.0013,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-028CHNF,F,STTD,RSTR,65,,2.0748,,1,,0.0550,,Empty,,,,,,n/a,bo,White 2/4
as,3/30/2012,2012-037CHNF,F,STTD,RSTR,66,,2.1166,,2,5,0.0434,0.0375,Chironomidae,adult,1,0.0000,,,Diptera,bo,White 2/4
as,3/13/2012,2012-001CHNS,S,STTD,RSTR,70,,2.3855,,4,2,0.0888,0.0515,Animal Matter,,,0.0047,,,Animal Matter,bo,White 2/4
as,3/13/2012,2012-001CHNS,S,STTD,RSTR,70,,2.3855,,4,2,0.0888,0.0515,Daphniidae,ephippia,3,0.0005,,,Cladocera,bo,White 2/4
as,3/13/2012,2012-001CHNS,S,STTD,RSTR,70,,2.3855,,4,2,0.0888,0.0515,Daphnia sp,,4,0.0014,,,Cladocera,bo,White 2/4
as,3/13/2012,2012-001CHNS,S,STTD,RSTR,70,,2.3855,,4,2,0.0888,0.0515,Daphniidae,,5,0.0002,,,Cladocera,bo,White 2/4
as,3/15/2012,2012-013CHNF,F,STTD,RSTR,57,,1.5161,,6,4,0.1014,0.0062,Animal Matter,,,0.0027,,,Animal Matter,bo,White 2/4
as,3/15/2012,2012-013CHNF,F,STTD,RSTR,57,,1.5161,,6,4,0.1014,0.0062,Daphnia pulex/pulicaria,,136,0.0189,,,Cladocera,bo,White 2/4
as,3/15/2012,2012-013CHNF,F,STTD,RSTR,57,,1.5161,,6,4,0.1014,0.0062,Daphniidae,,42,0.0068,,,Cladocera,bo,White 2/4
as,3/15/2012,2012-013CHNF,F,STTD,RSTR,57,,1.5161,,6,4,0.1014,0.0062,Eurycercus sp,,1,0.0001,,,Cladocera,bo,White 2/4
as,3/15/2012,2012-013CHNF,F,STTD,RSTR,57,,1.5161,,6,4,0.1014,0.0062,Simocephalus sp,,4,0.0009,,,Cladocera,bo,White 2/4
as,3/15/2012,2012-013CHNF,F,STTD,RSTR,57,,1.5161,,6,4,0.1014,0.0062,Cyclopoida,,1,0.0001,,,Copepoda,bo,White 2/4
as,3/15/2012,2012-013CHNF,F,STTD,RSTR,57,,1.5161,,6,4,0.1014,0.0062,Calanoida,,1,0.0001,,,Copepoda,bo,White 2/4
as,3/15/2012,2012-013CHNF,F,STTD,RSTR,57,,1.5161,,6,4,0.1014,0.0062,Aphididae,,1,0.0006,,,Hemiptera,bo,White 2/4
as,2/16/2012,2012-002CHNF,F,BL-5,Beach Seine,45,,0.5340,,4,5,0.0343,0.0147,Daphniidae,,12,0.0007,,,Cladocera,bo,White 2/4
as,2/16/2012,2012-002CHNF,F,BL-5,Beach Seine,45,,0.5340,,4,5,0.0343,0.0147,Daphnia pulex/pulicaria,,23,0.0025,,,Cladocera,bo,White 2/4
as,2/16/2012,2012-002CHNF,F,BL-5,Beach Seine,45,,0.5340,,4,5,0.0343,0.0147,Simocephalus sp,,1,0.0000,,,Cladocera,bo,White 2/4
as,3/23/2012,2012-017CHNS,S,STTD,RSTR,76,,3.1805,,1,,0.0639,,Empty,,,,,,n/a,bo,White 2/4
bo,3/16/2012,2012-022CHNF,F,STTD,RSTR,56,,1.2567,,2,6,0.0527,0.0497,Daphnia sp,,2,0.0006,Y,stomach open,Cladocera,bo,White 2/4
bo,3/15/2012,2012-015CHNF,F,STTD,RSTR,65,,2.4432,,4,5,0.0896,0.0324,Daphnia sp,,122,0.0347,Y,stomach open,Cladocera,bo,White 2/4
bo,3/15/2012,2012-015CHNF,F,STTD,RSTR,65,,2.4432,,4,5,0.0896,0.0324,Animal Matter,,,0.0043,,,Animal Matter,bo,White 2/4
bo,2/29/2012,2012-006CHNF,F,BL-2,Beach Seine,53,,0.8372,,5,5,0.1312,0.0406,Cladocera,,72,0.0152,Y,stomach open,Cladocera,bo,White 2/4
bo,2/29/2012,2012-006CHNF,F,BL-2,Beach Seine,53,,0.8372,,5,5,0.1312,0.0406,Daphnia sp,,128,0.0268,Y,stomach open,Cladocera,bo,White 2/4
bo,2/29/2012,2012-006CHNF,F,BL-2,Beach Seine,53,,0.8372,,5,5,0.1312,0.0406,Psocoptera,adult,5,0.0038,Y,stomach open,Psocoptera,bo,White 2/4
bo,2/29/2012,2012-006CHNF,F,BL-2,Beach Seine,53,,0.8372,,5,5,0.1312,0.0406,Chironomidae,adult,8,0.0091,Y,stomach open,Diptera,bo,White 2/4
bo,2/29/2012,2012-006CHNF,F,BL-2,Beach Seine,53,,0.8372,,5,5,0.1312,0.0406,Diptera,adult,1,0.0000,Y,stomach open,Diptera,bo,White 2/4
bo,2/29/2012,2012-006CHNF,F,BL-2,Beach Seine,53,,0.8372,,5,5,0.1312,0.0406,Calanoida,,1,0.0000,Y,stomach open,Copepoda,bo,White 2/4
bo,2/29/2012,2012-006CHNF,F,BL-2,Beach Seine,53,,0.8372,,5,5,0.1312,0.0406,Collembola,,2,0.0000,Y,stomach open,Collembola,bo,White 2/4
bo,2/29/2012,2012-006CHNF,F,BL-2,Beach Seine,53,,0.8372,,5,5,0.1312,0.0406,Harpacticoida,,1,0.0000,Y,stomach open,Copepoda,bo,White 2/4
bo,2/19/2012,2014-001CHNF,F,STTD,RSTR,45,,0.4526,,2,6,0.0258,0.0222,Chironomidae,adult,1,0.0024,Y,stomach open,Diptera,bo,White 2/4
bo,3/19/2014,2014-066CHNF,F,STTD,RSTR,55,,1.5812,2.5500,,,,,Chironomidae,adult,38,0.0088,Y,"stomach completely opened, very damaged; no stomach weight",Diptera,bo,White 2/4
bo,3/19/2014,2014-066CHNF,F,STTD,RSTR,55,,1.5812,2.5500,,,,,Isotomidae,,3,0.0009,Y,"stomach completely opened, very damaged; no stomach weight",Collembola,bo,White 2/4
bo,3/19/2014,2014-066CHNF,F,STTD,RSTR,55,,1.5812,2.5500,,,,,Psocoptera,adult,7,0.0027,Y,"stomach completely opened, very damaged; no stomach weight",Psocoptera,bo,White 2/4
bo,3/19/2014,2014-066CHNF,F,STTD,RSTR,55,,1.5812,2.5500,,,,,Psyllidae,,2,0.0009,Y,"stomach completely opened, very damaged; no stomach weight",Hemiptera,bo,White 2/4
bo,3/19/2014,2014-066CHNF,F,STTD,RSTR,55,,1.5812,2.5500,,,,,Aphididae,adult,3,0.0007,Y,"stomach completely opened, very damaged; no stomach weight",Hemiptera,bo,White 2/4
bo,3/19/2014,2014-066CHNF,F,STTD,RSTR,55,,1.5812,2.5500,,,,,Daphnia sp,,22,0.0028,Y,"stomach completely opened, very damaged; no stomach weight",Cladocera,bo,White 2/4
bo,3/19/2014,2014-066CHNF,F,STTD,RSTR,55,,1.5812,2.5500,,,,,Cyclopoida,,1,0.0000,Y,"stomach completely opened, very damaged; no stomach weight",Copepoda,bo,White 2/4
bo,3/19/2014,2014-066CHNF,F,STTD,RSTR,55,,1.5812,2.5500,,,,,Thripidae,adult,1,0.0000,Y,"stomach completely opened, very damaged; no stomach weight",Thysanoptera,bo,White 2/4
bo,3/19/2014,2014-066CHNF,F,STTD,RSTR,55,,1.5812,2.5500,,,,,Acari,,1,0.0000,Y,"stomach completely opened, very damaged; no stomach weight",Arachnida,bo,White 2/4
bo,3/19/2014,2014-066CHNF,F,STTD,RSTR,55,,1.5812,2.5500,,,,,Animal Matter,,,0.0074,Y,"stomach completely opened, very damaged; no stomach weight",Animal Matter,bo,White 2/4
bo,3/19/2014,2014-066CHNF,F,STTD,RSTR,55,,1.5812,2.5500,,,,,Hemiptera,adult,1,0.0004,Y,"stomach completely opened, very damaged; no stomach weight",Hemiptera,bo,White 2/4
ba,3/13/2012,2012-002CHNS,S,STTD,RSTR,69,,2.6419,,2,3,0.1106,0.0757,Daphnia pulex/pulicaria,,10,0.0048,,,Cladocera,bo,White 2/4
ba,3/13/2012,2012-002CHNS,S,STTD,RSTR,69,,2.6419,,2,3,0.1106,0.0757,unidentified,,,0.0022,,,Unidentified,bo,White 2/4
ba,3/12/2012,2012-007CHNF,F,STTD,RSTR,60,,1.5639,,3,5,0.0624,0.0428,Aphididae,,7,0.0027,,,Hemiptera,bo,White 2/4
ba,3/12/2012,2012-007CHNF,F,STTD,RSTR,60,,1.5639,,3,5,0.0624,0.0428,Chironomidae,adult,12,0.0035,,,Diptera,bo,White 2/4
ba,3/12/2012,2012-007CHNF,F,STTD,RSTR,60,,1.5639,,3,5,0.0624,0.0428,Dolichopodidae,adult,1,0.0025,,,Diptera,bo,White 2/4
